holdet_person_id,holdet_rider_name,pcs_rider_id,pcs_rider_name,holdet_team_name,manager_holdet_player_id,manager_category,manager_is_out,trading_holdet_player_id,trading_start_price,trading_price,trading_points,trading_popularity,trading_is_out,results_2026_rows,race_days_2026,distinct_races_2026,stage_rows_2026,classification_rows_2026,wins_2026,podiums_2026,top10s_2026,pcs_points_2026_total,uci_points_2026_total,last_result_date_2026,gt_stage_rows_2025,gt_stage_days_2025,gt_count_2025,giro_stage_rows_2025,tour_stage_rows_2025,vuelta_stage_rows_2025,best_gt_stage_result_2025,best_gt_gc_result_2025,best_gt_points_result_2025,best_gt_kom_result_2025,best_gt_youth_result_2025,gt_stage_wins_2025,gt_stage_top5s_2025,gt_stage_top10s_2025
46835,Alan Hatherly,alan-hatherly,Hatherly Alan,Team Jayco AlUla,46534,Kategori 3,f,47321,4000000,4000000,0.00,,f,25,19,5,25,0,0,3,6,132.00,164.00,2026-03-29,0,0,0,0,0,0,,,,,,0,0,0
3458,Pascal Ackermann,pascal-ackermann,Ackermann Pascal,Team Jayco AlUla,46599,Kategori 3,f,47396,6000000,6000000,0.00,,f,27,23,11,27,0,0,2,4,142.00,253.00,2026-04-15,21,21,1,0,21,0,4,125,54,,,0,1,2
4738,Filippo Conca,filippo-conca,Conca Filippo,Team Jayco AlUla,46559,Kategori 4,f,47350,2500000,2500000,0.00,,f,11,10,6,11,0,0,0,0,0,0,2026-04-15,0,0,0,0,0,0,,,,,,0,0,0
3250,Koen Bouwman,koen-bouwman,Bouwman Koen,Team Jayco AlUla,46583,Kategori 4,f,47376,3000000,3000000,0.00,,f,18,15,5,18,0,0,0,0,5.00,11.00,2026-04-04,15,15,2,9,0,6,17,,,,,0,0,0
1904,Luka Mezgec,luka-mezgec,Mezgec Luka,Team Jayco AlUla,46588,Kategori 4,f,47381,3500000,3500000,0.00,,f,27,24,11,27,0,0,0,2,31.00,37.00,2026-04-08,21,21,1,0,21,0,26,152,,,,0,0,0
4919,Max Poole,max-poole,Poole Max,Team Picnic PostNL,46592,Kategori 2,f,47387,6000000,6000000,0.00,,f,7,6,2,7,0,0,0,0,0,0,2026-02-22,21,21,1,21,0,0,8,11,57,,3,0,0,5
47195,Casper van Uden,casper-van-uden,van Uden Casper,Team Picnic PostNL,46542,Kategori 3,f,47330,5500000,5500000,0.00,,f,22,20,5,22,0,0,0,1,13.00,12.00,2026-03-18,31,31,2,21,0,10,1,150,7,,36,1,2,2
4967,Frank van den Broek,frank-van-den-broek,van den Broek Frank,Team Picnic PostNL,47312,Kategori 4,f,47355,3500000,3500000,0.00,,f,15,12,7,15,0,0,1,1,45.00,48.00,2026-04-11,21,21,1,0,21,0,2,39,41,,8,0,1,1
46840,Guillermo Juan Martinez,guillermo-juan-martinez,Martinez Juan Guillermo,Team Picnic PostNL,46569,Kategori 4,f,47360,3000000,3000000,0.00,,f,25,21,5,25,0,0,1,1,21.00,9.00,2026-04-11,21,21,1,0,0,21,15,54,81,,18,0,0,0
3909,James Knox,james-knox,Knox James,Team Picnic PostNL,47313,Kategori 4,f,47364,3000000,3000000,0.00,,f,25,22,6,25,0,0,0,0,15.00,10.00,2026-04-11,21,21,1,21,0,0,24,19,,,,0,0,0
3276,Mirco Maestri,mirco-maestri,Maestri Mirco,Team Polti VisitMalta,46596,Kategori 4,f,47392,3000000,3000000,0.00,,f,33,28,11,33,0,0,0,1,40.00,33.00,2026-04-10,21,21,1,21,0,0,2,93,11,60,,0,1,2
4196,Jonas Vingegaard,jonas-vingegaard,Jonas Vingegaard,Team Visma | Lease a Bike,46579,Kategori 1,f,47372,17500000,17500000,0.00,,f,21,15,2,21,0,8,11,12,738.00,1163.57,2026-03-29,42,42,2,0,21,21,1,1,2,2,,3,16,20
3900,Sepp Kuss,sepp-kuss,Kuss Sepp,Team Visma | Lease a Bike,46603,Kategori 2,f,47401,6000000,6000000,0.00,,f,12,11,3,12,0,0,0,0,16.00,19.00,2026-03-29,42,42,2,0,21,21,2,7,24,11,,0,3,6
4936,Davide Piganzoli,davide-piganzoli,Davide Piganzoli,Team Visma | Lease a Bike,46549,Kategori 3,f,47338,5500000,5500000,0.00,,f,16,13,4,16,0,0,0,4,77.00,111.57,2026-03-29,21,21,1,21,0,0,10,14,111,40,4,0,0,1
4193,Edoardo Affini,edoardo-affini,Affini Edoardo,Team Visma | Lease a Bike,46553,Kategori 3,f,47343,5500000,5500000,0.00,,f,15,15,8,15,0,0,0,1,23.00,3.57,2026-04-12,42,42,2,21,21,0,3,118,73,82,,0,3,3
3251,Victor Campenaerts,victor-campenaerts,Campenaerts Victor,Team Visma | Lease a Bike,46609,Kategori 3,f,47407,4500000,4500000,0.00,,f,18,14,3,18,0,0,0,2,45.00,33.57,2026-03-21,37,37,2,0,21,16,2,28,44,22,,0,3,3
2118,Wilco Kelderman,wilco-kelderman,Wilco Kelderman,Team Visma | Lease a Bike,46610,Kategori 3,f,47408,4000000,4000000,0.00,,f,18,16,3,18,0,0,0,1,33.00,46.57,2026-04-04,42,42,2,21,0,21,2,37,50,59,,0,2,2
5010,Bart Lemmen,bart-lemmen,Lemmen Bart,Team Visma | Lease a Bike,46540,Kategori 4,f,47327,3500000,3500000,0.00,,f,15,13,4,15,0,0,0,2,51.00,103.00,2026-04-04,21,21,1,21,0,0,29,42,97,39,,0,0,0
4941,Timo Kielich,timo-kielich,Kielich Timo,Team Visma | Lease a Bike,46606,Kategori 4,f,47404,3500000,3500000,0.00,,f,16,13,7,16,0,0,0,1,25.00,13.00,2026-03-29,21,21,1,21,0,0,23,86,,78,,0,0,0
3891,Michael Storer,michael-storer,Michael Storer,Tudor Pro Cycling Team,46593,Kategori 2,f,47389,7000000,7000000,0.00,,f,20,16,4,20,0,0,0,3,120.00,142.00,2026-03-18,42,42,2,21,21,0,3,10,42,16,,0,2,5
4202,Marc Hirschi,marc-hirschi,Hirschi Marc,Tudor Pro Cycling Team,46589,Kategori 3,f,47383,5500000,5500000,0.00,,f,10,10,10,10,0,0,0,1,66.00,95.00,2026-04-04,21,21,1,0,21,0,14,78,129,53,,0,0,0
47267,Mathys Rondel,mathys-rondel,Mathys Rondel,Tudor Pro Cycling Team,46591,Kategori 3,f,47386,5500000,5500000,0.00,,f,24,18,5,24,0,0,1,8,255.00,350.14,2026-03-15,0,0,0,0,0,0,,,,,,0,0,0
4388,Joao Almeida,joao-almeida,Almeida João,UAE Team Emirates - XRG,46577,Kategori 1,f,47370,10000000,10000000,0.00,,f,24,17,3,24,0,0,4,10,242.00,348.00,2026-03-29,30,30,2,0,9,21,1,2,4,3,,2,8,12
2638,Adam Yates,adam-yates,Adam Yates,UAE Team Emirates - XRG,46532,Kategori 2,f,47319,7500000,7500000,0.00,,f,28,23,6,28,0,0,2,6,263.00,404.00,2026-04-16,42,42,2,21,21,0,8,12,79,34,,0,0,3
47205,Jan Christen,jan-christen,Christen Jan,UAE Team Emirates - XRG,46573,Kategori 2,f,47365,6000000,6000000,0.00,,f,33,23,9,33,0,4,6,13,474.00,806.00,2026-03-21,0,0,0,0,0,0,,,,,,0,0,0
4568,Jay Vine,jay-vine,Jay Vine,UAE Team Emirates - XRG,46575,Kategori 2,f,47368,8000000,8000000,0.00,,f,14,11,4,14,0,3,3,5,328.00,635.00,2026-03-25,38,38,2,17,0,21,1,30,9,1,,3,5,8
47204,António Morgado,antonio-morgado,Morgado António,UAE Team Emirates - XRG,46539,Kategori 3,f,47326,4000000,4000000,0.00,,f,21,21,17,21,0,2,3,9,466.00,766.57,2026-04-12,0,0,0,0,0,0,,,,,,0,0,0
47207,Igor Arrieta,igor-arrieta-lizarraga,Igor Arrieta,UAE Team Emirates - XRG,46571,Kategori 3,f,47362,4000000,4000000,0.00,,f,34,24,8,34,0,0,4,15,284.00,393.14,2026-04-11,21,21,1,21,0,0,4,36,91,38,10,0,1,1
3910,Jhonatan Manuel Narvaez Prado,jhonatan-narvaez,Narváez Jhonatan,UAE Team Emirates - XRG,46576,Kategori 3,f,47369,5500000,5500000,0.00,,f,5,5,1,5,0,0,1,1,30.00,40.00,2026-01-24,21,21,1,0,21,0,8,13,81,,,0,0,1
2977,Marc Soler,marc-soler,Marc Soler,UAE Team Emirates - XRG,47315,Kategori 3,f,47384,5000000,5000000,0.00,,f,42,32,10,42,0,1,3,9,180.00,237.71,2026-04-11,42,42,2,0,21,21,1,26,29,6,,2,2,4
3253,Dylan Groenewegen,dylan-groenewegen,Groenewegen Dylan,Unibet Rose Rockets,46552,Kategori 1,f,47342,10000000,10000000,0.00,,f,15,15,11,15,0,4,6,7,592.00,1080.00,2026-04-08,21,21,1,0,21,0,13,150,100,,,0,0,0
1443,Wout Poels,wout-poels,Poels Wout,Unibet Rose Rockets,46611,Kategori 3,f,47409,4500000,4500000,0.00,,f,11,10,8,11,0,0,0,0,47.00,50.00,2026-03-21,42,42,2,21,0,21,16,36,114,31,,0,0,0
4884,Elmar Reinders,elmar-reinders,Reinders Elmar,Unibet Rose Rockets,46556,Kategori 4,f,47346,3000000,3000000,0.00,,f,19,17,13,19,0,0,0,4,66.00,96.00,2026-04-15,21,21,1,0,21,0,34,140,,,,0,0,0
47338,Anders Skaarseth,anders-skaarseth,Skaarseth Anders,Uno-X Mobility,46538,Kategori 4,f,47325,2500000,2500000,0.00,,f,35,31,8,35,0,0,0,0,35.00,21.00,2026-03-29,0,0,0,0,0,0,,,,,,0,0,0
4962,Johannes Kulset,johannes-kulset,Kulset Johannes,Uno-X Mobility,46578,Kategori 4,f,47371,3500000,3500000,0.00,,f,26,19,6,26,0,0,1,5,99.00,119.00,2026-04-11,0,0,0,0,0,0,,,,,,0,0,0
4867,Christian Scaroni,christian-scaroni,Scaroni Christian,XDS Astana Team,46543,Kategori 3,f,47331,5500000,5500000,0.00,,f,24,22,13,24,0,4,8,13,581.00,1001.00,2026-04-11,21,21,1,21,0,0,1,40,26,2,,1,2,3
3824,Davide Ballerini,davide-ballerini,Ballerini Davide,XDS Astana Team,46548,Kategori 3,f,47337,4000000,4000000,0.00,,f,11,11,11,11,0,0,0,0,58.00,92.00,2026-04-12,21,21,1,0,21,0,2,135,23,,,0,2,3
1340,Diego Ulissi,diego-ulissi,Ulissi Diego,XDS Astana Team,46551,Kategori 3,f,47340,4000000,4000000,0.00,,f,25,21,13,25,0,0,3,9,168.00,247.00,2026-04-04,21,21,1,21,0,0,3,21,19,13,,0,1,3
5017,Harold Martin Lopez,harold-martin-lopez,López Harold Martín,XDS Astana Team,46570,Kategori 3,f,47361,4000000,4000000,0.00,,f,23,20,4,23,0,0,0,0,12.00,26.00,2026-03-29,21,21,1,0,0,21,11,22,79,46,7,0,0,0
4510,Lorenzo Fortunato,lorenzo-fortunato,Fortunato Lorenzo,XDS Astana Team,46586,Kategori 3,f,47379,5000000,5000000,0.00,,f,28,23,8,28,0,0,0,4,93.00,123.00,2026-04-11,42,42,2,21,0,21,2,24,15,1,,0,2,4
2608,Alberto Bettiol,alberto-bettiol,Bettiol Alberto,XDS Astana Team,46535,Kategori 4,f,47322,3500000,3500000,0.00,,f,27,25,13,27,0,0,0,0,41.00,38.00,2026-04-05,0,0,0,0,0,0,,,,,,0,0,0
